pair_id,dataset,short_dataset,feature_build_sec_pair,feature_build_reduced_sec_pair,category,relation,model,scenario,rf_fit_sec_pair_share,rf_test_fold_appearances,runtime_sec_pair,runtime_note
ChEMBL__View-Unionable__assays_both_0_1_ac5_ev,ChEMBL,assays_both_0_1_ac5_ev,43.093,15.556631274178628,ChEMBL,View-Unionable,minilm,si_si2,5.92123784065059,1,49.014237840650594,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_30_ac5_av,OpenData,miller2_vertical_30_ac5_av,268.738,115.32846237170696,OpenData,Semantically-Joinable,minilm,si_si2,5.92123784065059,1,274.6592378406506,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_30_ac1_ev,TPC-DI,prospect_vertical_30_ac1_ev,53.356,20.28290129391849,TPC-DI,Joinable,minilm,si_si2,12.894884620442308,1,66.2508846204423,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_50_ac2_av,TPC-DI,prospect_both_0_50_ac2_av,80.034,31.580480942051857,TPC-DI,View-Unionable,minilm,si_si2,5.42661401036749,1,85.4606140103675,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_50_ac3_ev,ChEMBL,assays_both_50_50_ac3_ev,79.598,31.675743150293822,ChEMBL,Joinable,minilm,si_si2,5.521143731141579,2,85.11914373114158,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ec_av,ChEMBL,assays_both_0_1_ec_av,44.057,16.214052317634227,ChEMBL,View-Unionable,minilm,si_si2,6.053068523804223,2,50.11006852380422,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_30_ec_av,OpenData,miller2_vertical_30_ec_av,268.559,116.41687374805662,OpenData,Semantically-Joinable,minilm,si_si2,12.894884620442308,1,281.45388462044235,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_30_ac2_ev,TPC-DI,prospect_vertical_30_ac2_ev,52.659,20.15717575421184,TPC-DI,Joinable,minilm,si_si2,6.490463595692778,1,59.14946359569278,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_50_ac2_ev,TPC-DI,prospect_both_0_50_ac2_ev,74.411,29.14575031554699,TPC-DI,View-Unionable,minilm,si_si2,5.946105148903619,3,80.35710514890363,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_50_ac4_ev,ChEMBL,assays_both_50_50_ac4_ev,78.802,31.251420856311924,ChEMBL,Joinable,minilm,si_si2,5.958538803030134,2,84.76053880303014,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ec_ev,ChEMBL,assays_both_0_1_ec_ev,44.735,16.452272398993372,ChEMBL,View-Unionable,minilm,si_si2,12.894884620442308,1,57.62988462044231,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_50_ac1_av,OpenData,miller2_vertical_50_ac1_av,388.36,168.83452343069018,OpenData,Semantically-Joinable,minilm,si_si2,5.521143731141579,2,393.8811437311416,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_30_ac3_ev,TPC-DI,prospect_vertical_30_ac3_ev,49.467,18.515312747851013,TPC-DI,Joinable,minilm,si_si2,5.521143731141579,2,54.98814373114158,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_50_ac3_av,TPC-DI,prospect_both_0_50_ac3_av,77.052,30.18643003967405,TPC-DI,View-Unionable,minilm,si_si2,12.894884620442308,1,89.94688462044232,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_50_ac5_ev,ChEMBL,assays_both_50_50_ac5_ev,81.605,32.27223292553798,ChEMBL,Joinable,minilm,si_si2,12.894884620442308,1,94.49988462044232,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_30_ac1_av,ChEMBL,assays_both_0_30_ac1_av,59.928,22.994430687904355,ChEMBL,View-Unionable,minilm,si_si2,5.508741616552211,3,65.43674161655221,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_50_ac2_av,OpenData,miller2_vertical_50_ac2_av,372.673,160.54842875483632,OpenData,Semantically-Joinable,minilm,si_si2,5.958538803030134,2,378.63153880303014,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
