method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac5_av,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_both_50_1_ac4_av,30.41711963424644,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_1_ec_av,30.08956153327657,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac1_av,30.278620974824747,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac1_ev,31.153411118601856,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac2_av,31.153411118601856,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_both_50_1_ac3_av,31.153411118601856,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac5_ev,30.58418536355967,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ec_av,30.7160160467133,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Wikidata__Musicians__Musicians_viewunion,34.23210671217361,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Wikidata__Musicians__Musicians_joinable,41.70037732224843,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_30_ac2_ev,39.89801726169278,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_30_ac3_ev,38.928697397141576,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_30_ac1_ev,46.30243828644231,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac2_av,38.928697397141576,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_30_ac4_ev,38.928697397141576,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_30_ec_ev,39.17600931228313,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_30_ac5_ev,46.30243828644231,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_30_ac1_ev,38.834167676367485,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_30_ac3_ev,38.80457689127711,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_30_ec_ev,39.08533468015362,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_30_ac2_ev,39.27091181099397,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac1_av,46.30243828644231,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_30_ac5_ev,38.71004717050302,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,Wikidata__Musicians__Musicians_semjoinable,39.17600931228313,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_30_ac4_ev,39.35365881490362,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_30_ac2_av,39.61340438417168,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_30_ac5_av,38.91629528255221,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_30_ac1_av,46.30243828644231,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,38.58592666463855,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac4_ev,38.834167676367485,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac3_av,38.834167676367485,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac3_ev,39.17600931228313,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,39.24197196316567,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac5_ev,39.366092469030136,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ec_ev,38.834167676367485,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac5_av,46.30243828644231,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_30_ec_av,39.89801726169278,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac3_av,39.062062100311245,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_30_ac3_av,46.30243828644231,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_30_ac4_av,39.32879150665059,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac4_av,39.89801726169278,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac2_av,39.41667862875301,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
