method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
SMUTF,,TPC-DI__Unionable__prospect_horizontal_0_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_0_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_vertical_70_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_0_ac1_av,prospect_horizontal_0_ac1_av_source.csv,1.0,1.0,1.0,86.03177666664124,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_vertical_50_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_vertical_50_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_vertical_30_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_0_ec_av,prospect_horizontal_0_ec_av_source.csv,1.0,1.0,1.0,54.813488245010376,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_0_ec_ev,prospect_horizontal_0_ec_ev_source.csv,1.0,1.0,1.0,56.06730508804321,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_100_ac1_av,prospect_horizontal_100_ac1_av_source.csv,1.0,1.0,1.0,88.70612740516663,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_100_ac1_ev,prospect_horizontal_100_ac1_ev_source.csv,1.0,1.0,1.0,87.06148791313171,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_vertical_1_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_0_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_0_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_100_ec_av,prospect_horizontal_100_ec_av_source.csv,1.0,1.0,1.0,56.69832134246826,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Joinable__prospect_vertical_70_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Joinable
